epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2677,3.37138,5.5055,5.71724,0.00566,0.41628,0.00641,0.00148,3.28206,4.91972,7.32729,0.066894,0.000166362,0.000166362
2,148.801,2.97395,4.761,4.2894,0.02093,0.17218,0.02391,0.00816,2.72285,4.04121,5.01197,0.033724,0.000329732,0.000329732
3,208.755,2.36279,3.66843,2.96483,0.03947,0.22962,0.0414,0.01844,1.99733,3.09039,3.30725,0.00055074,0.000489801,0.000489801
4,268.513,1.64392,2.74142,2.10886,0.12116,0.39517,0.13778,0.08171,1.30496,2.25691,2.35191,0.00048515,0.00048515,0.00048515
5,328.116,1.24203,2.31868,1.74637,0.25636,0.47445,0.25837,0.18646,0.98919,1.93729,1.89489,0.0004802,0.0004802,0.0004802
6,387.928,1.06438,2.08466,1.58697,0.40779,0.56837,0.39052,0.30419,0.85785,1.63329,1.68793,0.00047525,0.00047525,0.00047525
7,448.03,0.97469,1.88103,1.51007,0.46782,0.59752,0.52804,0.43255,0.77275,1.46749,1.55625,0.0004703,0.0004703,0.0004703
8,507.801,0.8997,1.71564,1.44226,0.55711,0.6374,0.64621,0.5323,0.7403,1.22525,1.50633,0.00046535,0.00046535,0.00046535
9,567.365,0.84887,1.57286,1.39972,0.65265,0.66554,0.75196,0.63361,0.66918,1.05884,1.39117,0.0004604,0.0004604,0.0004604
10,626.847,0.81968,1.43086,1.36754,0.73968,0.74787,0.82506,0.7114,0.63207,0.85982,1.34563,0.00045545,0.00045545,0.00045545
11,686.282,0.77192,1.29579,1.33114,0.78979,0.78389,0.8827,0.76521,0.61474,0.74301,1.31766,0.0004505,0.0004505,0.0004505
12,745.781,0.76225,1.21117,1.32944,0.78131,0.86483,0.90884,0.79518,0.57558,0.69574,1.25969,0.00044555,0.00044555,0.00044555
13,805.732,0.74067,1.11669,1.30529,0.90015,0.89345,0.95005,0.83847,0.55765,0.53865,1.23375,0.0004406,0.0004406,0.0004406
14,865.439,0.7185,1.02901,1.29016,0.95604,0.92465,0.97268,0.85909,0.55562,0.42387,1.22741,0.00043565,0.00043565,0.00043565
15,925.286,0.70682,0.96869,1.27956,0.96387,0.92333,0.97843,0.86972,0.5293,0.40541,1.19091,0.0004307,0.0004307,0.0004307
16,984.695,0.68249,0.87631,1.26187,0.96791,0.9348,0.98222,0.88131,0.50922,0.35534,1.16217,0.00042575,0.00042575,0.00042575
17,1044.13,0.66851,0.82413,1.24332,0.95381,0.96473,0.98773,0.88763,0.50636,0.3324,1.15786,0.0004208,0.0004208,0.0004208
18,1103.81,0.6544,0.79085,1.23907,0.95849,0.9582,0.9884,0.89436,0.49595,0.32461,1.14384,0.00041585,0.00041585,0.00041585
19,1163.79,0.65432,0.75447,1.2354,0.97998,0.9751,0.99,0.89655,0.49106,0.29171,1.13497,0.0004109,0.0004109,0.0004109
20,1223.42,0.62432,0.68501,1.21509,0.98809,0.97987,0.99078,0.90154,0.47509,0.27246,1.11598,0.00040595,0.00040595,0.00040595
21,1283.51,0.62242,0.65657,1.21365,0.98682,0.97684,0.99147,0.90481,0.46815,0.27078,1.10443,0.000401,0.000401,0.000401
22,1343.29,0.61122,0.62624,1.19966,0.99025,0.98353,0.99174,0.90526,0.46326,0.26646,1.09746,0.00039605,0.00039605,0.00039605
23,1402.9,0.60441,0.59824,1.19883,0.99247,0.9786,0.9924,0.90595,0.461,0.25376,1.08963,0.0003911,0.0003911,0.0003911
24,1463.08,0.59412,0.57533,1.19216,0.98898,0.98068,0.99245,0.90888,0.45098,0.25665,1.0804,0.00038615,0.00038615,0.00038615
25,1523.28,0.59446,0.58659,1.19062,0.99365,0.98392,0.99255,0.90983,0.45101,0.2513,1.07986,0.0003812,0.0003812,0.0003812
26,1582.83,0.58555,0.55211,1.18372,0.99278,0.98402,0.99278,0.9107,0.44596,0.24196,1.07656,0.00037625,0.00037625,0.00037625
27,1642.81,0.57567,0.53625,1.17433,0.99429,0.9861,0.99287,0.91538,0.44007,0.24191,1.06839,0.0003713,0.0003713,0.0003713
28,1702.56,0.56827,0.51252,1.17239,0.99494,0.98702,0.99294,0.91541,0.43288,0.23789,1.05882,0.00036635,0.00036635,0.00036635
29,1762.19,0.56567,0.50775,1.16248,0.99387,0.9852,0.99241,0.91891,0.4271,0.23811,1.04866,0.0003614,0.0003614,0.0003614
30,1822.32,0.56489,0.50668,1.16777,0.99397,0.98656,0.99318,0.9254,0.41391,0.23305,1.03701,0.00035645,0.00035645,0.00035645
31,1882.51,0.55679,0.48607,1.16208,0.99325,0.98737,0.99281,0.92384,0.41519,0.23039,1.03313,0.0003515,0.0003515,0.0003515
32,1942.34,0.55289,0.47828,1.15535,0.99395,0.98399,0.99222,0.9218,0.41518,0.23012,1.0382,0.00034655,0.00034655,0.00034655
33,2002.47,0.55137,0.47555,1.1572,0.99582,0.98726,0.99256,0.92267,0.41546,0.23207,1.03455,0.0003416,0.0003416,0.0003416
34,2062.4,0.53827,0.45424,1.14669,0.9959,0.98557,0.99315,0.92281,0.41304,0.23008,1.03008,0.00033665,0.00033665,0.00033665
35,2122.3,0.53618,0.44421,1.14441,0.9942,0.98647,0.99358,0.92528,0.4127,0.22871,1.03155,0.0003317,0.0003317,0.0003317
36,2183.16,0.54059,0.45631,1.14889,0.99655,0.98508,0.99322,0.92815,0.40905,0.22804,1.02843,0.00032675,0.00032675,0.00032675
37,2244.03,0.53055,0.43724,1.14419,0.99646,0.9873,0.99411,0.93169,0.40539,0.22925,1.02344,0.0003218,0.0003218,0.0003218
38,2305.31,0.52855,0.43567,1.13649,0.99282,0.98827,0.9935,0.92657,0.40798,0.22653,1.02567,0.00031685,0.00031685,0.00031685
39,2366.27,0.52637,0.42646,1.14175,0.99573,0.9873,0.99452,0.93173,0.39852,0.22397,1.0165,0.0003119,0.0003119,0.0003119
40,2426.34,0.51948,0.41725,1.13111,0.99655,0.98769,0.99443,0.93191,0.40047,0.22195,1.01605,0.00030695,0.00030695,0.00030695
